lfdn,v_3
30,7
33,5
35,130
41,4
48,25
56,7
58,40
75,185
76,10 in detailed business analysis 
79,8
81,50
82,40
84,> 100
91,70
93,12
97,30
102,20
106,12
114,50
115,5
118,20
119,50
120,15
126,50
129,20
137,40
141,15
144,6
146,8
147,20
149,100
150,8
160,10
162,15
163,25
165,100
166,5
167,15
168,3
170,6
178,12
179,10
180,6
182,4
183,8
184,5
188,7
197,100
199,14
203,"Now I am looking for a job regrading requirements engineering, so my answers will be based on the projects I joined half a year ago."
205,6
207,4
208,25
210,16
213,10 and more
215,25
217,four
221,35
230,20
231,100
239,1500
249,3
258,10
259,4
263,60
267,8
268,50
278,100
283,60
291,30
292,60
295,35
297,25
304,50
310,8
313,10
315,15
317,7
330,35
332,5
334,1
341,8
349,4
355,50
359,60
364,25
365,25
370,+25
372,70
377,N/A - I have oversight of a large number of projects and programmes across the organisation
378,15
384,70
387,15
393,150
409,10
412,15
416,6
420,10
425,30
427,70
429,25
437,130
442,15
444,10
446,40
453,6
454,30
461,12
466,7
467,3
468,4
475,10
479,10
482,40
485,50
489,40
496,35
502,5
506,30
507,10
511,12
512,6
518,3
523,5
524,30
525,5
531,20
534,20
539,50
541,34
545,50
548,12
549,10
559,6
560,30
564,4
569,25
570,50
572,>500
573,30
575,4
586,20
590,20
593,3
626,10
634,4
637,20
640,~5
649,10
661,10
663,40
676,5
683,5
684,5-10
694,multiple small-medium projects: average 2 direct management projects with 5 people each + 10 indirect projects (not managing their requirements)
695,50
710,30
711,8
719,10
722,20
723,5
728,8
729,10
730,5
735,4
740,5
742,20
750,5
753,15 aproximadamente
754,20
758,16
765,10
768,10
774,8
785,2
786,10
795,10
809,4
814,10
818,30
819,12
825,5
830,40
831,25
837,10
839,33
845,10
847,10
849,5
851,45
856,10
857,3
862,10
864,8
865,3
868,7
870,5
876,9
879,20
880,15
884,10
887,12
889,20
894,7
896,10
898,13
900,"No Projeto atual, temos 6 pessoas envolvidas"
901,50
909,8
910,6
912,15-20
916,8
917,10
918,3
921,12
923,12
924,8
926,45
928,50
929,100
930,12
931,12
932,20
933,13
937,10
945,10
947,11
948,5
952,170
955,120
956,20
957,50
958,6
959,6
960,200
962,12
967,60
968,22
980,5
984,10
985,5
987,4
990,5
997,10
1006,15
1008,15
1009,6
1010,15
1011,4
1012,15
1013,5
1014,4
1017,300
1021,4
1028,50
1031,10
1033,15
1035,6
1039,12
1051,50
1055,4
1056,6
1062,10
1064,40
1065,7
1066,100
1069,5
1070,10
1076,10
1079,11
1080,2
1082,6
1091,7
1097,200
1098,20
1100,40
1101,10
1105,19
1111,60
1114,6
1115,30
1118,50
1122,10
1124,25
1126,20
1129,30
1139,15
1140,3
1141,50
1159,3
1161,8
1163,4
1164,2
1165,5
1166,3
1167,12
1168,4
1171,5
1172,5
1181,35
1184,30
1187,20
1188,20
1189,10
1190,10
1194,80
1200,2
1204,15
1207,15
1214,10
1220,4
1221,6
1222,1
1223,7
1224,14
1225,4
1226,10
1227,6
1228,30
1229,8
1236,20
1238,6
1239,70
1255,9
1262,6
1266,2
1273,30
1275,5
1279,10
1283,10
1284,10
1288,6
1289,20
1290,4
1291,10
1296,5
1316,15
1321,7
1327,8
1329,10
1331,6
1339,5
1340,100
1341,50
1343,45
1344,160
1347,7
1348,5
1349,6
1350,50
1351,4
1352,6
1353,6
1354,15
1355,5
1356,4
1357,4
1358,3
1359,4
1360,3
1376,5
1383,Alrededor de 80
1384,4
1398,4
1402,8
1403,1-3
1406,400
1408,6
1411,15
1413,17
1415,7
1416,3
1417,4
1419,8
1422,10
1423,6
1424,10
1425,8
1426,40
1428,5
1433,20
1435,7
1441,50
1449,8
1454,12
1455,65
1457,5
1458,3
1459,4
1460,12
1461,6
1462,4
1466,8
1467,20
1473,8
1474,14
1477,5
1482,50
1483,5
1484,6
1485,6
1486,2
1487,9
1526,18
1542,30
1560,15
1617,30
1618,30
1620,50
1621,20
1624,6
1633,120
1645,4
1650,14
1651,10
1663,20
1665,20
1666,10
1667,20
1668,60
1669,50
1670,60
1675,7
1676,6
1688,10
1690,7
1695,3
1697,20
1698,8
1699,6
1700,10
1703,8
1705,4
1715,6
1717,4
1718,50+
1723,4
1727,5
1733,2
1741,60
1742,5
1744,5
1751,3
1753,10
1755,40
1756,8
1759,2
1761,1
1762,40
1763,100-200
1767,7
1791,20
1804,3
1805,4
1810,80
1812,6
1820,150
1828,2
1831,10
1840,20
1842,40
1844,9
1849,9
1859,5
1861,50
1862,5
1894,10
1895,6
1896,2
1899,10
1909,"na realiza̤̣o do projeto, 5, sem contar com clientes"
1911,15
1917,24
1918,20
1922,40
1923,7
1928,6
1929,20
1931,10
1932,3
1933,12
1941,20
1957,8
1961,15
1962,8
1963,10
1965,10
1969,Depends on Project.  Usually > 10 and < 100.  Most often between 20-40.
