lfdn;v_343;tag
150; using non-quantified textual requirements;Textual requirements
291; using quantified textual requirements;Quantified textual requirements
144; using quantified textual requirements, interface models;Quantified textual requirements
144; using quantified textual requirements, interface models;Interface models
1484;#VALUE!;NotCodable
1791;a;NotCodable
831;All Quantified measures;Quantified textual requirements
929;any documentation with textual description of the requirement vision document.;Textual requirements
1624;Api docs using swagger and also on confluence;API documents
203;co-existence, interoperability;NotCodable
1423;Coexistence;NotCodable
879;coexistence;NotCodable
1355;Communication between team and users;NotCodable
1122;Compatibilized data and structure to standard tools, ability to integrate with other products;NotCodable
1462;Contract;Contract
923;Deployment Plan recording the ecosystem wherein the solution is inserted;Deployment plan
1124;Described the requirements that need.;Textual requirements
710;Detailed explanation (text and diagrams) of the interactions needed with other systems.;Textual requirements
710;Detailed explanation (text and diagrams) of the interactions needed with other systems.;Diagrams
230;Diagrams;Diagrams
334;Diagrams and quantified textual requirements;Diagrams
334;Diagrams and quantified textual requirements;Quantified textual requirements
1091;Diagrams and texts;Diagrams
1091;Diagrams and texts;Textual requirements
1717;Documentation provided by customer (functional technical);NotCodable
1360;Documented in contract;Contract
1321;Explicitly;NotCodable
785;following some guideline;Following guidelines
586;Guideline, policy and practise;Following guidelines
754;Guidelines;Following guidelines
1804;Guidelines;Following guidelines
1021;Hardware compatibility and software existing in the company;NotCodable
1917;in coordination with the cliente.;NotCodable
694;In Statement of Work (contract) + User Stories descriptions and acceptance criteria;Contract
694;In Statement of Work (contract) + User Stories descriptions and acceptance criteria;User stories
694;In Statement of Work (contract) + User Stories descriptions and acceptance criteria;Acceptance criteria
1350;INTERACT WITH OTHER SOFTWARE AND HARDWARE;NotCodable
292;Interface Control documents, typically database document that drive SW and test tools;Interface control documents
1424;interoperability;NotCodable
1140;interoperability;NotCodable
1560;interoperability, backward compatable;NotCodable
856;it is explicit in the technical proposal which is designed as a requirements document.;Textual requirements
1699;It is very necessary;NotCodable
1082;measurable textual requirements;Quantified textual requirements
735;measurable textual requirements;Quantified textual requirements
868;measurable using textual requirements;Quantified textual requirements
570;Mix of quantified and non-quantified textual requirements;Quantified textual requirements
570;Mix of quantified and non-quantified textual requirements;Textual requirements
870;Multiplataform;NotCodable
461;Natural language;Textual requirements
1460;Natural language;Textual requirements
179;Natural language;Textual requirements
774;natural language ;Textual requirements
663;Natural Language / Informal Text;Textual requirements
178;non functional requirements;Textual requirements
267;Non qualified textual requirements ;Textual requirements
208;non-quantified textual;Textual requirements
106;non-quantified textual requirement;Textual requirements
1051;Non-quantified textual requirements;Textual requirements
188;non-quantified textual requirements;Textual requirements
446;non-quantified textual requirements;Textual requirements
1441;non-quantified textual requirements;Textual requirements
1718;non-quantified textual requirements;Textual requirements
1189;non-quantified textual requirements ;Textual requirements
729;non-quantified textual requirements ;Textual requirements
1283;Non-quantified textual requirements, guidelines and standards;Textual requirements
1283;Non-quantified textual requirements, guidelines and standards;Following guidelines
1283;Non-quantified textual requirements, guidelines and standards;Following standards
548;OK;NotCodable
1744;Plain text;Textual requirements
197;Plain text;Textual requirements
1055;quality attribute scenario;Quality scenarios
626;Quality scenarios;Quality scenarios
984;Quantified Text, Standards;Quantified textual requirements
310;quantified textual requirements;Quantified textual requirements
384;quantified textual requirements;Quantified textual requirements
330;Quantified textual requirements ;Quantified textual requirements
985;quantified textual requirements ;Quantified textual requirements
437;Quantified textual requirements ;Quantified textual requirements
825;quantified textual requirements and diagrams;Quantified textual requirements
825;quantified textual requirements and diagrams;Diagrams
676;quantified textual requirements, diagrams, following some customer guideline;Quantified textual requirements
676;quantified textual requirements, diagrams, following some customer guideline;Diagrams
676;quantified textual requirements, diagrams, following some customer guideline;Following guidelines
317;Quantified textual requirements, often with open target. Guide and template from Requirements SL-07;Quantified textual requirements
317;Quantified textual requirements, often with open target. Guide and template from Requirements SL-07;Following guidelines
1357;recieving functional technical documents;NotCodable
1651;Review against architectural guidelines;Following guidelines
1204;Review of client IT environment requires and written in doc;Textual requirements
1435;Review of Enterprise Systems and their integration;NotCodable
1327;Solution concept of infrastructure;Infrastructure solution concept
182;Specific guidelines standard or practice;Following guidelines
182;Specific guidelines standard or practice;Following standards
1126;specific topic in the main project document;NotCodable
1349;Stablished in the contract;Contract
839;State that project work must be compatible with existing corporate information systems and security requirements;Textual requirements
573;system architecture diagrams;System architecture diagrams
1820;Text;Textual requirements
1296;Text;Textual requirements
1329;text;Textual requirements
1929;Text;Textual requirements
569;Text;Textual requirements
845;text;Textual requirements
880;Text and diagrams;Textual requirements
880;Text and diagrams;Diagrams
1011;text, referenced to technical specifications, rules (e.g. interface changes);Textual requirements
1111;textual;Textual requirements
147;textual;Textual requirements
183;Textual;Textual requirements
1467;Textual;Textual requirements
560;Textual & diagrams ;Textual requirements
560;Textual & diagrams ;Diagrams
1428;textual according to a tempalte;Textual requirements
412;Textual conformancy statements with standards and automated tests of that conformancy;Textual requirements
412;Textual conformancy statements with standards and automated tests of that conformancy;Following standards
412;Textual conformancy statements with standards and automated tests of that conformancy;Automated tests
453;textual requirements;Textual requirements
1911;textual requirements;Textual requirements
349;textual requirements;Textual requirements
661;textual requirements;Textual requirements
750;Textual requirements and diagrams;Textual requirements
750;Textual requirements and diagrams;Diagrams
1923;textual requirements for interoperability between systems;Textual requirements
1753;Textual requirements specifying backwards compatibility between system components (specific electronics, network trafic performance engines, API software, host and OS);Textual requirements
851;textual requirements, guidelines;Textual requirements
851;textual requirements, guidelines;Following guidelines
231;textual requirements, use-cases, user stories;Textual requirements
231;textual requirements, use-cases, user stories;Use cases
231;textual requirements, use-cases, user stories;User stories
332;textual, io-lists;Textual requirements
332;textual, io-lists;IO lists
1402;Textual, test plans;Textual requirements
1402;Textual, test plans;Test plans
912;This is usually done with diagrams and business rules;Diagrams
912;This is usually done with diagrams and business rules;Business rules
952;time of transformation. ;NotCodable
115;Typically quantified textual requirements;Quantified textual requirements
857;unmeasurable textual;Textual requirements
1188;unmeasurable textual requirements;Textual requirements
909;unmeasurable textual requirements;Textual requirements
768;use case;Use cases
1650;Use cases, informal text;Use cases
1650;Use cases, informal text;Textual requirements
758;User stories;User stories
278;using non-quantified textual requirements;Textual requirements
511;using non-quantified textual requirements;Textual requirements
162;using quantified textual requirements;Quantified textual requirements
1141;using quantified textual requirements;Quantified textual requirements
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Quantified textual requirements
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Diagrams
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Following guidelines
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.;Following standards
1039;using textual requirements based on the restrictions set by the customer;Textual requirements
945;Using unmeasurable requirements textual;Textual requirements
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.;Textual requirements
1703;White box testing is pefformed to check compatibility in the information;NotCodable
968;With document that specifies the platforms to be used;Textual requirements
1482;WRITTEN DOCUMENTATION OF PERCENTAGE OF COMPATIBILITY.;Quantified textual requirements