lfdn;v_346;tag
144; using quantified textual requirements;Quantified textual requirements
150; using quantified textual requirements;Quantified textual requirements
291; using quantified textual requirements;Quantified textual requirements
1484;#VALUE!;NotCodable
317;(The same);NotCodable
1423;ADAPTABILITY;NotCodable
1424;adaptability;NotCodable
1667;Adaptability and installation;NotCodable
1159;Adaptability, installability;NotCodable
1266;Because the system and block by subcases following standards, it is portable the majority of user needs;NotCodable
952;before and after transformation;NotCodable
1462;CONTRACT;Contract
839;Delivering to mobile phones so must be portable;NotCodable
1171;detailed in the TECHNICAL document of Development ;Technical specification
1804;Diagrams;Diagrams
785;following some guideline;Following guidelines
694;In Statement of Work (contract) + User Stories descriptions and acceptance criteria;Contract
694;In Statement of Work (contract) + User Stories descriptions and acceptance criteria;User stories
694;In Statement of Work (contract) + User Stories descriptions and acceptance criteria;Acceptance criteria
1349;In the contract and during the tender;Contract
1140;install ability;NotCodable
1355;It can be developed on any operating system;NotCodable
1624;it should be part of the code and the design;NotCodable
1756;list of supported browsers and screen resolution (latest projects were all web);List of supported browsers and screen resolution
735;measurable textual requirements;Quantified textual requirements
1416;MULTI-PLATFORM;NotCodable
179;Natural language;Textual requirements
479;natural language (sentence patterns);Textual requirements
663;Natural Language / Informal Text;Textual requirements
79;Non functional requirements chapter at the end of each concerned story;User stories
1759;non-quantified textual requirements;Textual requirements
239;Non-quantified textual requirements;Textual requirements
1455;Not Documented;Not documented
758;Not documented;Not documented
916;not measurable;Textual requirements
41;Not sure;NotCodable
1744;Plain text;Textual requirements
1066;quantified text requirements;Quantified textual requirements
985;Quantified textual requirements;Quantified textual requirements
310;quantified textual requirements;Quantified textual requirements
570;Quantified textual requirements;Quantified textual requirements
182;Specific guidelines standard or practice;Following guidelines
754;Standards and parameters documented in wiki or shared repository;Following guidelines
1327;system specification in chapter non-functional requirements;Textual requirements
661;Text;Textual requirements
569;Text;Textual requirements
147;textual;Textual requirements
1402;Textual;Textual requirements
1111;textual;Textual requirements
1753;Textual;Textual requirements
412;Textual requirement and figures. Also part of the user guide for the system;Textual requirements
1911;textual requirements;Textual requirements
349;textual requirements;Textual requirements
750;Textual requirements and diagrams;Textual requirements
750;Textual requirements and diagrams;Diagrams
1699;The system must be able to be used on any device;NotCodable
1188;unmeasurable textual requirements;Textual requirements
1918;unmeasurable textual requirements;Textual requirements
416;using non-quantified textual requirements;Textual requirements
278;using non-quantified textual requirements;Textual requirements
1291;using non-quantified textual requirements;Textual requirements
511;using non-quantified textual requirements;Textual requirements
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.;Textual requirements
1076;What platforms are supported and which ones need to be active;Platform specification